L,A,B
44,162,153
44,162,153
44,162,154
43,162,154
43,162,154
44,162,154
46,163,155
46,163,155
47,164,155
47,164,155
47,164,155
47,164,155
47,164,155
47,164,155
48,163,155
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,155
48,163,155
48,163,155
47,163,155
47,164,155
46,163,155
46,163,155
46,163,155
46,163,155
46,163,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,155
48,163,155
48,163,156
48,164,156
48,164,156
49,163,157
48,163,156
48,163,156
47,163,155
47,163,155
46,164,155
46,163,155
46,163,155
46,163,155
47,164,155
47,164,156
48,163,156
48,163,156
48,163,156
49,163,157
49,163,157
49,163,157
50,164,156
50,164,156
48,164,155
48,164,155
48,163,155
46,163,155
45,163,154
44,162,153
43,162,154
43,162,154
44,162,154
45,162,154
45,163,155
46,164,155
47,163,155
47,163,155
48,163,155
47,163,155
47,163,155
47,163,154
45,163,154
45,162,154
43,162,153
42,160,152
40,160,151
40,160,151
38,160,151
38,160,151
38,160,151
38,160,151
38,159,150
38,159,150
38,159,150
38,159,150
37,159,150
37,159,150
36,159,149
36,157,149
36,159,149
37,159,150
37,159,150
38,159,150
40,160,151
40,160,151
41,160,151
42,161,152
43,161,152
43,162,153
45,162,154
45,162,154
45,162,154
45,162,154
43,162,153
42,161,152
41,160,152
41,160,152
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
40,160,151
41,160,151
41,160,151
41,160,151
41,160,151
42,161,152
42,161,152
42,161,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
41,160,151
43,161,152
43,162,153
43,162,153
45,162,154
43,162,153
43,162,153
43,162,153
43,162,154
43,162,154
44,162,154
44,162,154
45,162,154
45,162,154
45,162,154
44,162,153
44,162,153
43,162,154
43,162,154
44,162,154
44,162,154
45,163,155
46,163,155
47,163,155
48,164,155
48,164,155
48,164,155
48,164,155
47,164,155
47,164,155
47,164,155
48,163,155
47,163,155
47,163,155
46,163,155
45,163,154
45,162,154
45,162,154
44,162,153
43,162,153
43,161,153
42,161,152
41,160,152
41,160,151
41,160,151
41,160,151
41,160,151
40,160,151
41,160,151
41,160,151
41,160,151
42,161,152
43,161,152
43,162,153
44,162,153
45,162,154
45,162,154
43,162,154
43,162,154
43,162,154
43,162,154
44,162,154
45,162,154
46,163,154
47,164,155
47,164,155
47,164,155
47,164,155
48,163,155
48,163,155
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,155
47,163,155
47,163,155
47,163,155
47,163,155
46,163,155
46,163,155
46,163,155
46,164,155
46,164,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
49,163,157
49,163,157
49,163,157
49,163,156
48,164,155
48,164,155
48,164,155
48,164,156
48,164,156
48,163,156
47,163,155
47,163,155
47,163,155
45,163,154
45,163,154
45,163,154
45,162,154
46,163,155
46,163,155
47,164,155
47,163,155
48,163,156
48,163,156
49,163,157
49,163,157
49,163,157
49,163,156
49,163,156
48,164,155
48,163,155
47,163,155
46,163,155
45,163,154
44,162,153
43,162,154
43,162,154
43,162,154
45,162,154
45,163,155
46,164,155
47,163,155
48,163,155
48,163,155
48,163,155
47,163,155
47,163,154
46,162,154
45,162,154
43,162,153
42,160,152
41,159,151
40,160,151
38,160,151
38,160,151
38,160,151
38,159,150
38,159,150
38,159,150
37,159,150
37,159,150
36,159,149
36,159,149
36,158,149
36,158,149
36,158,149
36,159,149
37,159,150
38,159,150
38,160,151
40,160,151
41,160,151
42,161,152
43,161,152
43,161,152
44,162,153
45,162,154
45,162,154
45,162,154
43,162,153
43,160,152
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
41,160,151
41,160,151
41,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
42,161,152
43,161,152
43,162,153
45,162,154
45,162,154
45,162,154
43,162,153
43,162,153
43,162,153
43,162,153
43,162,153
43,162,153
44,162,153
44,162,153
43,162,153
43,162,153
43,161,153
43,161,153
43,162,154
43,162,154
45,162,154
45,163,154
47,163,155
48,163,155
49,163,156
49,165,156
48,164,155
48,164,156
48,163,156
48,163,155
48,163,155
48,163,155
48,163,155
47,163,155
47,163,155
46,163,154
45,163,154
45,162,154
44,162,153
44,162,153
43,162,153
43,161,152
42,161,152
42,161,152
41,160,151
41,160,151
41,160,151
42,161,152
42,161,152
42,161,152
43,161,152
43,162,153
45,162,154
45,162,154
45,163,154
46,162,154
46,162,154
43,162,153
43,161,153
43,161,153
43,161,153
43,162,154
44,162,154
45,162,154
45,163,154
47,163,155
47,163,155
47,163,155
47,163,155
48,163,155
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
46,164,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
49,163,157
49,163,157
49,163,156
49,163,156
49,163,156
48,164,155
49,163,156
48,164,155
48,164,156
48,163,156
46,164,155
45,163,155
45,163,154
45,163,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
46,163,155
46,164,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
49,163,156
48,164,155
48,163,155
47,163,155
47,163,155
46,163,155
45,162,154
44,162,154
43,162,154
43,162,154
43,162,154
45,162,154
45,163,155
46,164,155
47,163,155
48,163,155
48,163,155
48,163,155
47,163,155
46,163,154
46,162,154
45,162,154
45,162,154
42,160,152
41,159,151
40,160,151
39,159,151
38,160,151
38,159,150
38,159,150
38,159,150
37,159,150
37,159,150
37,159,150
36,159,149
36,159,149
36,158,149
36,158,149
36,158,149
36,159,149
37,159,150
37,159,150
38,159,150
39,159,151
40,160,151
41,160,151
42,161,152
43,161,152
43,162,153
44,162,153
45,162,154
45,162,154
45,162,154
43,160,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
42,161,152
42,161,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
41,160,151
41,160,151
41,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
41,160,152
42,161,152
43,161,152
43,161,152
43,162,153
43,162,153
43,162,153
43,162,153
43,162,153
43,161,152
43,161,152
43,161,152
43,161,152
43,162,154
43,161,152
42,161,153
42,161,153
42,161,153
43,161,153
43,161,153
43,162,154
45,162,154
45,163,154
47,163,155
48,164,155
49,163,156
49,165,156
49,165,156
48,164,156
48,164,155
48,163,155
48,163,155
48,163,155
48,163,155
47,163,155
47,163,155
46,163,155
46,163,154
45,162,154
45,162,154
45,162,154
44,162,153
43,162,153
43,162,153
43,161,152
43,162,153
43,162,153
43,162,153
43,162,153
43,162,153
45,162,154
45,162,154
45,162,154
45,163,154
45,163,154
46,163,155
46,163,154
46,163,154
45,163,154
43,161,153
43,161,153
43,161,153
43,161,153
44,162,154
44,162,154
45,162,154
45,163,154
46,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
48,163,156
49,163,157
50,164,156
50,164,156
51,165,157
51,165,156
51,165,156
51,164,155
49,163,156
48,163,155
47,163,155
46,163,155
45,163,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,163,155
46,164,155
46,164,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
48,163,155
48,163,155
47,163,155
47,163,155
45,163,154
45,162,154
43,162,154
43,162,154
43,162,154
43,162,154
45,162,154
45,163,155
47,163,155
47,163,155
48,163,155
48,163,155
48,163,155
47,163,155
46,163,154
46,162,154
45,162,154
45,162,154
41,160,151
40,160,151
40,160,151
39,159,151
38,160,151
38,159,150
38,159,150
37,159,150
37,159,150
37,159,150
37,159,150
36,159,149
36,159,149
36,157,149
36,158,149
36,159,149
37,158,150
38,158,150
38,158,150
38,159,150
38,160,151
40,160,151
41,160,151
42,161,152
43,161,152
43,162,153
44,162,153
45,162,154
45,162,154
45,162,154
43,161,152
42,161,152
42,161,152
41,160,151
41,160,151
41,160,151
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,151
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
41,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
41,160,152
42,161,152
42,161,152
42,161,153
43,161,152
43,161,152
44,161,153
44,161,153
43,161,152
43,160,152
42,161,152
41,160,151
41,160,151
41,160,152
41,160,152
41,160,152
40,160,151
41,160,152
42,161,152
42,161,153
43,161,153
43,162,154
45,162,154
45,163,154
47,163,155
48,164,155
48,164,155
48,164,155
48,164,155
48,164,156
48,163,155
48,163,155
48,163,155
48,163,155
47,163,155
47,163,155
46,163,155
46,163,155
46,163,155
46,163,155
46,163,154
45,162,154
45,162,153
45,162,153
45,162,153
45,162,153
46,162,154
45,163,154
46,163,154
46,163,154
46,163,155
46,163,155
46,163,155
45,163,154
46,163,155
46,163,155
46,163,154
46,163,154
46,163,154
45,162,154
43,161,153
43,161,153
43,161,153
43,161,153
43,162,154
44,162,154
45,162,154
45,162,154
45,162,154
45,163,154
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
46,164,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
48,164,156
48,164,156
50,164,157
50,164,156
50,164,156
51,165,156
51,165,156
53,164,156
53,164,155
51,164,155
49,163,155
47,163,155
45,163,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,163,155
46,163,155
46,164,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,155
47,163,155
47,163,155
46,163,155
45,163,154
44,162,153
43,162,154
43,162,154
43,162,154
43,162,154
45,162,154
45,163,154
47,163,155
47,163,155
48,163,155
48,163,155
47,163,155
47,163,154
46,163,154
46,162,154
45,162,154
45,162,154
41,160,151
40,160,151
40,160,151
39,159,151
38,160,151
38,158,151
38,159,150
37,159,150
37,159,150
37,159,150
37,159,150
37,159,150
37,159,150
37,159,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,159,150
38,160,151
40,160,151
40,160,151
41,160,152
43,161,152
43,162,153
44,162,153
46,162,154
46,162,154
46,162,154
45,162,154
43,161,152
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,151
42,161,152
42,161,152
42,161,152
42,161,152
41,160,151
40,161,151
40,160,151
40,160,151
41,160,152
41,160,152
41,160,152
42,161,152
42,161,152
42,161,152
42,161,153
43,161,152
43,161,152
43,161,152
43,160,152
42,161,152
42,160,152
40,160,151
39,159,151
38,159,150
38,159,150
38,159,150
38,159,150
38,161,151
40,161,151
40,161,151
42,161,152
42,161,153
43,162,154
45,162,154
45,163,154
47,163,155
48,163,155
48,164,155
48,164,155
48,164,155
48,164,155
48,163,155
48,163,155
47,163,155
47,163,155
47,163,155
46,163,155
46,163,155
46,163,155
46,163,155
46,163,155
46,163,155
46,163,155
46,164,154
46,163,154
46,163,154
46,163,154
47,163,154
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
46,163,155
47,163,155
46,163,155
46,163,154
46,163,154
45,162,154
43,161,153
42,161,153
42,161,153
42,161,153
43,161,153
43,162,154
44,162,153
45,162,154
45,162,154
45,162,154
46,163,155
46,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
46,164,155
46,164,155
46,164,155
46,164,155
47,163,155
47,163,155
46,164,155
46,164,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,156
49,163,157
49,163,157
49,163,157
49,163,157
50,164,157
50,164,156
51,165,156
51,165,156
53,164,156
53,164,155
51,164,155
48,164,154
46,163,155
45,163,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,163,155
46,163,155
46,163,155
46,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
45,163,154
45,162,154
44,162,153
43,162,154
43,162,154
43,162,154
43,162,154
45,162,154
45,163,154
47,163,155
48,163,155
48,164,154
47,163,154
47,163,154
46,163,154
46,162,154
46,162,154
45,162,154
45,162,154
40,160,151
40,160,151
40,159,150
39,159,151
38,158,151
38,158,151
38,158,151
38,159,150
38,159,150
38,159,150
38,159,150
38,159,150
38,159,150
38,158,151
38,158,150
38,158,150
38,158,151
38,158,151
38,159,150
38,160,151
39,159,151
40,160,151
41,160,152
42,161,153
43,162,153
44,162,153
46,162,154
46,163,153
46,163,153
45,162,154
43,162,153
43,161,152
43,161,152
43,161,152
43,161,152
43,161,152
43,161,152
42,161,152
42,161,152
42,161,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
40,161,151
40,161,151
40,160,151
41,160,151
41,160,151
42,161,152
42,161,152
42,161,152
42,161,152
42,161,153
42,161,153
43,160,152
43,160,152
43,160,152
42,161,152
41,159,151
39,160,151
38,160,151
37,159,150
36,159,149
36,159,149
36,159,149
37,158,150
38,159,150
38,161,151
40,161,151
41,160,152
42,161,153
43,162,154
44,162,154
45,162,154
45,163,154
47,163,155
48,163,155
48,164,155
47,164,155
47,164,155
47,164,155
47,164,155
47,163,155
47,163,155
46,163,154
46,163,154
46,163,155
46,163,155
46,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,155
48,163,155
48,163,155
48,163,155
47,163,155
47,164,155
47,164,155
46,163,155
46,163,155
46,163,155
45,163,154
45,162,154
43,161,152
42,161,152
42,161,152
42,161,153
42,161,153
43,162,154
44,162,154
44,162,153
45,162,154
45,162,154
45,163,154
46,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
46,164,155
46,164,155
46,164,155
47,163,155
46,164,155
46,164,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,156
49,163,157
49,163,157
49,163,157
49,163,157
48,164,156
49,165,156
50,164,156
50,164,156
50,165,155
51,164,155
48,163,154
46,163,154
45,163,154
45,163,154
45,163,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,163,155
46,163,155
46,163,155
46,163,155
46,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
46,163,155
45,163,154
44,162,153
44,162,153
43,162,154
43,162,154
43,162,154
43,162,154
45,162,154
46,163,155
47,163,155
48,164,154
48,163,154
48,163,154
47,164,154
46,163,154
46,162,154
45,162,154
45,162,154
40,160,151
40,160,151
40,159,150
39,159,151
38,158,151
38,158,151
38,158,151
38,159,150
38,159,150
38,159,150
38,159,150
38,159,150
38,159,150
38,158,151
38,158,151
38,158,151
38,159,150
38,159,150
38,160,151
38,160,151
40,160,151
40,160,151
41,160,152
42,161,153
43,161,153
44,162,153
47,164,154
47,164,154
47,164,154
46,162,154
45,162,154
44,162,153
43,162,153
43,162,153
43,161,152
43,161,152
43,161,152
43,161,152
43,161,152
42,161,152
42,161,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
40,162,151
40,161,151
40,161,151
40,161,151
40,162,151
42,161,152
42,161,152
43,161,152
43,162,153
43,162,153
43,162,153
43,162,153
43,160,152
43,160,152
42,161,152
42,161,152
41,159,151
39,160,151
38,160,151
37,159,150
36,159,149
36,159,149
36,159,149
36,159,149
36,159,149
37,158,150
38,159,151
40,160,151
41,160,152
42,161,153
43,161,153
43,162,153
44,162,153
45,162,154
45,163,154
47,164,155
47,164,155
47,164,155
46,163,155
46,163,155
46,163,154
45,163,154
45,163,154
45,163,154
45,163,154
46,163,154
46,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
47,164,155
47,164,155
47,164,155
47,163,154
46,163,154
46,162,154
45,162,154
43,161,152
42,161,152
42,161,152
42,161,152
42,161,153
43,161,153
44,162,154
44,162,154
45,162,154
45,162,154
45,163,154
46,163,155
46,163,155
47,163,155
47,163,155
48,163,155
48,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,156
49,163,157
49,163,157
49,163,157
49,163,157
48,163,156
48,163,155
47,163,155
46,163,155
46,163,155
47,163,155
46,163,155
45,163,154
45,163,154
45,163,154
45,163,154
45,163,154
45,163,154
45,163,154
45,163,154
45,163,154
46,163,155
46,164,155
46,164,155
46,163,155
47,163,155
47,163,155
47,163,155
48,163,156
47,163,155
48,163,156
47,163,155
47,163,155
46,163,155
45,163,154
44,162,153
44,162,153
43,162,154
43,162,154
43,162,154
43,162,154
45,162,154
46,163,155
48,163,154
48,163,154
48,163,154
48,163,154
47,164,154
46,163,154
46,162,154
45,162,154
45,162,154
40,160,151
40,160,151
40,159,150
39,159,151
38,158,151
38,158,151
38,158,151
38,159,150
38,159,150
38,159,150
38,160,151
38,160,151
39,159,151
39,159,151
39,159,151
38,160,151
38,160,151
38,160,151
39,159,151
40,160,151
40,160,151
40,160,151
42,161,152
42,161,153
43,161,153
44,162,153
46,162,154
46,162,154
46,162,154
46,162,154
45,162,154
44,162,153
44,162,153
44,162,153
44,162,153
44,162,153
43,162,153
43,161,152
43,161,152
43,161,152
43,161,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,151
40,162,151
40,161,151
40,161,151
40,161,151
41,161,152
42,161,152
43,161,152
43,162,152
45,162,153
45,162,153
45,162,154
43,162,153
43,162,153
43,162,153
43,160,152
42,161,152
42,160,152
40,159,150
38,160,151
37,159,150
36,159,149
36,159,149
36,157,149
36,157,149
36,159,149
36,159,149
37,158,150
38,160,151
40,160,151
40,160,151
42,161,153
43,161,152
43,161,152
44,162,153
44,162,153
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
44,162,153
44,162,153
45,162,154
45,162,154
45,163,154
46,163,154
46,163,155
46,163,155
47,163,155
47,163,155
47,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
47,163,155
47,164,155
47,163,155
47,163,154
46,163,154
45,162,153
45,162,154
42,161,152
41,160,151
41,160,152
41,160,152
42,161,153
43,161,153
43,162,154
44,162,154
45,162,154
45,163,154
46,163,155
47,164,155
47,164,155
48,163,155
48,163,155
49,163,156
49,163,156
48,163,156
48,163,156
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
48,163,156
48,163,155
47,163,155
47,163,155
46,163,155
46,163,154
46,163,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,163,154
45,163,154
45,163,154
45,163,154
46,163,155
46,163,154
47,163,154
47,163,154
47,163,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
48,163,156
48,163,155
47,163,155
46,163,155
45,163,154
44,162,153
44,162,153
43,162,154
43,162,154
43,162,154
44,162,154
45,163,154
47,163,155
48,163,154
48,164,154
48,164,154
48,163,154
47,163,154
46,163,154
46,162,154
45,162,154
45,162,154
41,159,151
40,159,151
40,159,150
39,159,151
38,158,151
38,158,151
38,158,151
38,159,150
38,159,150
38,160,151
38,160,151
38,160,151
40,159,150
40,159,150
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
41,161,152
42,161,153
43,161,153
43,162,154
44,162,153
45,163,154
45,162,154
45,162,154
44,162,153
44,162,153
45,162,154
44,162,153
44,162,153
44,162,153
44,162,153
44,162,153
43,162,153
43,162,153
43,161,152
43,161,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,152
40,162,151
40,162,151
42,161,152
42,161,152
43,161,152
43,162,153
45,162,153
45,162,153
45,162,153
45,162,154
45,162,154
45,162,154
43,162,153
42,161,152
42,160,152
41,159,151
39,159,151
38,160,151
37,159,150
36,159,149
36,157,149
36,157,149
36,157,149
36,159,149
36,159,149
38,159,150
39,159,151
40,160,151
41,160,151
41,160,151
42,161,152
43,161,152
43,161,152
43,161,152
43,161,152
43,162,153
43,162,153
43,161,152
43,162,153
43,162,153
43,162,153
43,162,153
44,162,153
45,162,154
45,162,154
45,163,154
46,163,154
46,163,155
47,163,155
47,163,155
47,163,155
48,163,155
48,163,155
47,164,155
48,163,155
48,163,156
48,163,155
48,163,155
48,163,155
48,163,155
48,163,155
47,163,155
47,163,155
47,163,155
47,163,155
46,163,155
46,162,154
45,162,153
43,162,153
42,161,152
41,160,151
41,160,151
41,160,152
42,161,153
42,161,153
43,162,154
45,162,154
45,163,154
47,163,155
47,163,155
47,163,155
47,163,155
48,163,155
49,163,156
49,163,156
49,163,157
48,163,156
48,163,156
48,163,156
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,155
47,163,155
47,163,154
47,163,155
46,163,154
45,163,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,163,154
45,163,154
45,163,154
46,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
48,163,156
48,163,155
48,163,155
47,163,154
45,163,154
44,162,153
43,162,154
43,162,154
43,162,154
43,162,154
44,162,154
46,163,155
48,163,155
48,163,154
49,163,155
49,163,155
48,164,154
47,163,154
46,163,154
46,162,154
45,162,154
45,162,154
40,159,151
40,159,150
40,159,150
39,159,151
38,158,151
38,158,151
38,159,150
38,159,150
38,160,151
38,160,151
38,160,151
40,159,150
40,159,150
41,159,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
41,160,152
42,161,152
42,161,153
42,161,153
43,161,153
43,162,154
44,162,153
44,162,153
44,162,153
44,162,153
44,162,153
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
44,162,153
44,162,153
43,162,153
43,162,153
43,162,153
43,161,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,152
42,161,152
42,161,152
43,161,152
43,162,153
44,162,153
45,162,154
45,162,154
45,162,153
45,162,154
45,162,154
45,162,154
43,162,153
42,161,152
42,160,152
40,159,150
38,160,151
38,159,150
37,159,150
36,159,149
36,159,149
36,159,149
36,159,149
36,159,149
37,159,150
38,160,151
40,160,151
40,160,151
41,160,151
41,160,151
41,160,151
42,161,152
42,161,152
43,161,152
43,161,152
43,161,152
43,161,152
43,161,152
43,161,152
42,161,152
43,161,152
43,161,152
43,162,153
44,162,153
44,162,153
45,163,154
45,163,154
46,163,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,155
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,155
48,163,155
47,163,155
47,163,155
47,163,155
47,163,155
46,163,155
45,163,154
45,162,154
45,162,154
43,161,152
41,160,151
41,160,151
41,160,151
41,160,152
42,161,153
42,161,152
43,162,153
45,163,154
47,163,155
47,163,155
47,163,155
48,163,155
48,163,155
48,163,155
49,163,157
49,163,157
49,163,157
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,154
47,163,154
46,163,155
45,163,154
45,163,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,163,154
46,163,154
46,163,155
47,164,155
48,163,155
48,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
48,163,156
48,163,155
48,163,155
47,163,154
46,163,154
44,162,153
43,162,154
43,162,154
43,162,154
43,162,154
45,162,154
47,164,155
48,163,155
48,164,155
49,163,155
49,163,156
48,163,155
48,163,155
46,163,154
46,162,154
45,162,154
45,162,154
40,159,150
40,159,150
38,160,151
38,160,151
38,159,150
38,159,150
38,159,150
38,159,150
38,160,151
38,160,151
39,160,151
40,159,151
41,159,151
41,159,151
41,159,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
41,160,152
42,161,152
42,161,153
43,161,153
43,162,154
43,162,154
43,162,153
44,162,153
44,162,153
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
44,162,153
44,162,153
43,162,153
43,162,153
43,162,153
43,162,153
43,161,152
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
43,161,152
44,162,153
44,162,153
45,162,154
45,162,154
45,162,154
45,162,153
46,162,154
45,162,153
45,162,154
45,162,154
42,161,152
41,159,151
40,159,150
38,159,150
38,159,150
37,159,150
36,159,149
36,159,149
36,159,149
36,159,149
37,159,150
38,159,150
39,160,151
40,160,151
40,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
41,160,151
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
42,161,152
43,161,152
43,161,152
43,162,153
44,162,153
44,162,153
45,163,154
45,163,154
45,163,154
46,163,155
46,163,155
46,163,155
47,163,155
46,163,155
46,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
47,163,155
46,163,155
46,163,155
45,163,154
45,162,154
45,162,154
43,161,152
42,161,152
41,160,151
41,160,151
41,160,151
41,160,151
42,161,152
43,161,152
44,162,153
46,163,154
47,163,155
47,163,155
48,163,155
48,163,155
48,163,155
48,164,156
48,164,156
48,164,156
48,164,156
48,164,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
49,163,157
48,163,156
48,163,156
48,163,156
48,163,156
47,163,155
47,163,155
47,163,155
47,163,155
47,163,154
46,163,154
45,163,154
45,163,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
44,162,153
45,162,154
45,163,154
46,163,155
46,163,155
47,164,155
47,164,155
48,163,155
48,163,155
48,163,155
47,163,155
47,163,155
48,163,156
48,163,156
48,163,156
48,163,156
48,163,156
48,163,155
48,163,155
47,163,154
46,163,155
43,162,154
43,162,154
43,162,154
43,162,154
44,162,154
45,162,154
47,163,155
48,164,155
48,164,155
48,164,155
48,164,155
49,163,156
48,163,155
46,163,154
46,162,154
45,162,154
40,159,150
38,160,151
38,160,151
38,160,151
38,159,150
38,159,150
38,159,150
38,159,150
38,160,151
38,160,151
39,159,151
40,159,150
40,159,151
41,159,151
41,159,151
41,159,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
41,160,152
42,161,152
42,161,153
43,161,153
43,161,153
43,162,154
43,162,154
43,162,154
43,162,153
43,162,153
45,162,154
45,162,154
45,162,154
45,162,154
44,162,153
44,162,153
43,162,153
43,162,153
43,162,153
43,162,153
43,162,153
43,161,152
42,161,152
42,161,152
43,161,152
43,161,152
43,162,153
44,162,153
45,162,154
45,162,154
45,162,154
45,162,154
45,163,154
46,162,154
45,162,153
45,162,153
45,162,154
42,160,152
40,159,150
39,159,151
38,159,150
37,159,150
37,159,150
37,159,150
36,159,149
36,159,149
37,159,150
38,159,150
38,160,150
40,160,151
